time,pv,cv,sp,kp,ki,kd
168222,9.98,47.76,10.00,45.00,9.91,51.08
168725,9.94,57.40,10.00,45.00,9.91,51.08
169232,9.93,53.15,10.00,45.00,9.91,51.08
169740,9.95,49.61,10.00,45.00,9.91,51.08
170248,9.94,52.02,10.00,45.00,9.91,51.08
170750,9.98,57.74,10.00,45.00,9.91,51.08
171257,9.98,51.87,10.00,45.00,9.91,51.08
171758,9.97,57.59,10.00,45.00,9.91,51.08
172265,9.98,51.44,10.00,45.00,9.91,51.08
172768,10.01,50.72,10.00,45.00,9.91,51.08
173276,10.03,57.66,10.00,45.00,9.91,51.08
173783,10.05,56.48,10.00,45.00,9.91,51.08
174291,10.06,53.05,10.00,45.00,9.91,51.08
174793,10.05,50.35,10.00,45.00,9.91,51.08
175301,10.03,62.24,10.00,45.00,9.91,51.08
175808,10.02,54.11,10.00,45.00,9.91,51.08
176316,10.02,46.30,10.00,45.00,9.91,51.08
176819,9.99,55.73,10.00,45.00,9.91,51.08
177326,9.97,56.05,10.00,45.00,9.91,51.08
177827,9.98,42.89,10.00,45.00,9.91,51.08
178335,10.00,41.78,10.00,45.00,9.91,51.08
178837,10.01,51.90,10.00,45.00,9.91,51.08
179345,10.03,43.57,10.00,45.00,9.91,51.08
179852,10.00,63.02,10.00,45.00,9.91,51.08
180360,10.01,62.47,10.00,45.00,9.91,51.08
180863,10.00,55.64,10.00,45.00,9.91,51.08
181371,10.01,45.98,10.00,45.00,9.91,51.08
181878,9.99,46.93,10.00,45.00,9.91,51.08
182386,9.99,58.30,10.00,45.00,9.91,51.08
182888,9.99,61.00,10.00,45.00,9.91,51.08
183396,9.97,47.76,10.00,45.00,9.91,51.08
183897,9.97,53.91,10.00,45.00,9.91,51.08
184404,9.95,57.19,10.00,45.00,9.91,51.08
184907,9.97,42.37,10.00,45.00,9.91,51.08
185415,9.98,50.42,10.00,45.00,9.91,51.08
185922,9.98,61.36,10.00,45.00,9.91,51.08
186430,10.00,64.79,10.00,45.00,9.91,51.08
186933,10.00,61.96,10.00,45.00,9.91,51.08
187441,10.00,47.99,10.00,45.00,9.91,51.08
187948,9.99,53.60,10.00,45.00,9.91,51.08
188456,10.01,44.66,10.00,45.00,9.91,51.08
188959,10.03,52.61,10.00,45.00,9.91,51.08
189467,10.01,49.63,10.00,45.00,9.91,51.08
189967,10.01,39.21,10.00,45.00,9.91,51.08
190475,10.02,44.46,10.00,45.00,9.91,51.08
190978,10.01,43.22,10.00,45.00,9.91,51.08
191486,10.02,54.24,10.00,45.00,9.91,51.08
191993,10.02,54.39,10.00,45.00,9.91,51.08
192501,10.04,39.53,10.00,45.00,9.91,51.08
193004,10.03,56.50,10.00,45.00,9.91,51.08
193512,10.04,64.00,10.00,45.00,9.91,51.08
194019,10.03,61.10,10.00,45.00,9.91,51.08
194527,10.03,50.77,10.00,45.00,9.91,51.08
195030,10.03,53.59,10.00,45.00,9.91,51.08
195538,9.99,48.98,10.00,45.00,9.91,51.08
196038,9.98,55.26,10.00,45.00,9.91,51.08
196546,9.98,47.12,10.00,45.00,9.91,51.08
197049,9.99,58.08,10.00,45.00,9.91,51.08
197557,9.98,52.61,10.00,45.00,9.91,51.08
198065,9.99,47.36,10.00,45.00,9.91,51.08
198573,10.00,51.76,10.00,45.00,9.91,51.08
199076,10.00,63.09,10.00,45.00,9.91,51.08
199584,10.02,50.94,10.00,45.00,9.91,51.08
200091,10.02,48.41,10.00,45.00,9.91,51.08
200599,10.00,65.50,10.00,45.00,9.91,51.08
201102,10.00,49.54,10.00,45.00,9.91,51.08
201610,9.97,58.78,10.00,45.00,9.91,51.08
202110,9.98,56.25,10.00,45.00,9.91,51.08
202618,9.97,56.63,10.00,45.00,9.91,51.08
203121,9.98,53.68,10.00,45.00,9.91,51.08
203629,9.95,62.30,10.00,45.00,9.91,51.08
204136,10.00,42.19,10.00,45.00,9.91,51.08
204644,10.01,42.01,10.00,45.00,9.91,51.08
205147,10.01,66.15,10.00,45.00,9.91,51.08
205655,10.02,52.06,10.00,45.00,9.91,51.08
206162,10.02,53.87,10.00,45.00,9.91,51.08
206670,10.03,48.66,10.00,45.00,9.91,51.08
207173,10.02,48.32,10.00,45.00,9.91,51.08
207681,10.03,46.98,10.00,45.00,9.91,51.08
208181,10.02,58.83,10.00,45.00,9.91,51.08
208689,10.02,49.96,10.00,45.00,9.91,51.08
209191,10.02,56.61,10.00,45.00,9.91,51.08
209698,10.02,56.54,10.00,45.00,9.91,51.08
210206,10.03,56.24,10.00,45.00,9.91,51.08
210714,10.00,62.18,10.00,45.00,9.91,51.08
211216,9.99,61.89,10.00,45.00,9.91,51.08
211724,10.00,51.97,10.00,45.00,9.91,51.08
212231,9.98,57.59,10.00,45.00,9.91,51.08
212739,9.98,54.98,10.00,45.00,9.91,51.08
213242,9.99,58.22,10.00,45.00,9.91,51.08
213750,9.94,45.04,10.00,45.00,9.91,51.08
214256,9.94,54.20,10.00,45.00,9.91,51.08
214757,9.93,71.62,10.00,45.00,9.91,51.08
215260,9.94,50.47,10.00,45.00,9.91,51.08
215767,9.97,66.24,10.00,45.00,9.91,51.08
216275,9.98,51.45,10.00,45.00,9.91,51.08
216782,9.99,56.84,10.00,45.00,9.91,51.08
217285,10.01,50.65,10.00,45.00,9.91,51.08
