time,pv,cv,sp,kp,ki,kd
139991,9.98,44.73,10.00,45.00,9.91,51.08
140495,9.97,59.13,10.00,45.00,9.91,51.08
141000,9.96,69.91,10.00,45.00,9.91,51.08
141504,9.95,65.49,10.00,45.00,9.91,51.08
142009,9.97,62.02,10.00,45.00,9.91,51.08
142516,9.98,51.51,10.00,45.00,9.91,51.08
143020,9.94,57.74,10.00,45.00,9.91,51.08
143525,9.93,50.49,10.00,45.00,9.91,51.08
144029,9.93,59.74,10.00,45.00,9.91,51.08
144533,9.92,46.05,10.00,45.00,9.91,51.08
145037,9.92,40.38,10.00,45.00,9.91,51.08
145541,9.92,56.86,10.00,45.00,9.91,51.08
146046,9.97,46.02,10.00,45.00,9.91,51.08
146550,9.98,47.66,10.00,45.00,9.91,51.08
147055,9.98,61.32,10.00,45.00,9.91,51.08
147559,10.00,41.36,10.00,45.00,9.91,51.08
148064,10.01,46.21,10.00,45.00,9.91,51.08
148570,10.01,51.97,10.00,45.00,9.91,51.08
149075,10.02,59.15,10.00,45.00,9.91,51.08
149580,10.03,58.83,10.00,45.00,9.91,51.08
150084,10.05,52.86,10.00,45.00,9.91,51.08
150588,10.04,44.45,10.00,45.00,9.91,51.08
151092,10.04,59.95,10.00,45.00,9.91,51.08
151596,10.08,39.62,10.00,45.00,9.91,51.08
152100,10.07,59.45,10.00,45.00,9.91,51.08
152604,10.06,44.64,10.00,45.00,9.91,51.08
153109,10.07,42.13,10.00,45.00,9.91,51.08
153613,10.07,52.47,10.00,45.00,9.91,51.08
154118,10.07,63.58,10.00,45.00,9.91,51.08
154625,10.03,39.19,10.00,45.00,9.91,51.08
155129,10.07,64.10,10.00,45.00,9.91,51.08
155633,10.03,44.82,10.00,45.00,9.91,51.08
156138,10.00,54.63,10.00,45.00,9.91,51.08
156642,9.99,55.14,10.00,45.00,9.91,51.08
157146,9.99,50.15,10.00,45.00,9.91,51.08
157650,9.99,68.33,10.00,45.00,9.91,51.08
158154,10.00,44.46,10.00,45.00,9.91,51.08
158659,9.98,63.62,10.00,45.00,9.91,51.08
159163,9.99,44.79,10.00,45.00,9.91,51.08
159668,9.96,51.69,10.00,45.00,9.91,51.08
160172,9.96,59.81,10.00,45.00,9.91,51.08
160677,9.94,41.94,10.00,45.00,9.91,51.08
161184,9.94,57.39,10.00,45.00,9.91,51.08
161692,9.94,67.54,10.00,45.00,9.91,51.08
162199,9.95,49.41,10.00,45.00,9.91,51.08
162706,10.01,54.40,10.00,45.00,9.91,51.08
163213,10.04,32.92,10.00,45.00,9.91,51.08
163721,10.05,60.34,10.00,45.00,9.91,51.08
164228,10.05,65.00,10.00,45.00,9.91,51.08
164735,10.04,48.09,10.00,45.00,9.91,51.08
165242,10.02,48.87,10.00,45.00,9.91,51.08
165750,10.01,52.16,10.00,45.00,9.91,51.08
166257,9.98,66.12,10.00,45.00,9.91,51.08
166757,9.97,54.06,10.00,45.00,9.91,51.08
167264,9.97,59.99,10.00,45.00,9.91,51.08
167771,9.92,63.62,10.00,45.00,9.91,51.08
168279,9.97,41.58,10.00,45.00,9.91,51.08
168786,9.98,52.89,10.00,45.00,9.91,51.08
169293,9.98,60.01,10.00,45.00,9.91,51.08
169801,10.04,41.71,10.00,45.00,9.91,51.08
170308,10.01,66.46,10.00,45.00,9.91,51.08
170815,10.02,60.60,10.00,45.00,9.91,51.08
171323,10.02,58.05,10.00,45.00,9.91,51.08
171830,9.97,71.85,10.00,45.00,9.91,51.08
172337,9.97,47.65,10.00,45.00,9.91,51.08
172838,9.99,52.42,10.00,45.00,9.91,51.08
173346,9.98,60.24,10.00,45.00,9.91,51.08
173853,9.99,48.49,10.00,45.00,9.91,51.08
174360,9.98,37.43,10.00,45.00,9.91,51.08
174868,9.99,46.41,10.00,45.00,9.91,51.08
175375,10.02,51.01,10.00,45.00,9.91,51.08
175883,10.02,38.37,10.00,45.00,9.91,51.08
176390,10.01,52.71,10.00,45.00,9.91,51.08
176897,10.05,62.94,10.00,45.00,9.91,51.08
