time,pv,cv,sp,kp
710580,50.17,0.0,50.0,150.0
711103,50.1,0.0,50.0,150.0
711626,50.0,0.0,50.0,150.0
712152,49.89,17.13,50.0,150.0
712674,49.82,26.5,50.0,150.0
713198,49.72,42.13,50.0,150.0
713721,49.58,63.22,50.0,150.0
714244,49.47,78.85,50.0,150.0
714767,49.38,93.69,50.0,150.0
715290,49.26,100.0,50.0,150.0
715813,49.18,100.0,50.0,150.0
716335,49.15,100.0,50.0,150.0
716859,49.22,100.0,50.0,150.0
717382,49.41,89.0,50.0,150.0
717905,49.55,67.13,50.0,150.0
718428,49.79,31.19,50.0,150.0
718951,49.95,7.75,50.0,150.0
719474,50.02,0.0,50.0,150.0
719999,50.09,0.0,50.0,150.0
720522,50.06,0.0,50.0,150.0
721045,49.97,4.63,50.0,150.0
721568,49.88,18.69,50.0,150.0
722091,49.77,35.1,50.0,150.0
722614,49.7,45.25,50.0,150.0
723137,49.61,58.53,50.0,150.0
723660,49.5,75.72,50.0,150.0
724183,49.4,89.78,50.0,150.0
724706,49.29,100.0,50.0,150.0
725229,49.23,100.0,50.0,150.0
725752,49.18,100.0,50.0,150.0
726276,49.22,100.0,50.0,150.0
726799,49.4,89.78,50.0,150.0
727321,49.64,53.85,50.0,150.0
727844,49.87,19.47,50.0,150.0
728369,50.04,0.0,50.0,150.0
728892,50.12,0.0,50.0,150.0
729415,50.14,0.0,50.0,150.0
729938,50.1,0.0,50.0,150.0
730461,50.03,0.0,50.0,150.0
730984,49.93,10.1,50.0,150.0
731506,49.81,28.06,50.0,150.0
732030,49.68,48.38,50.0,150.0
732552,49.65,53.06,50.0,150.0
733075,49.53,70.25,50.0,150.0
733598,49.44,84.32,50.0,150.0
734121,49.31,100.0,50.0,150.0
734644,49.19,100.0,50.0,150.0
735167,49.14,100.0,50.0,150.0
735690,49.18,100.0,50.0,150.0
736215,49.39,92.13,50.0,150.0
736738,49.61,57.75,50.0,150.0
737261,49.82,27.28,50.0,150.0
737784,49.93,10.88,50.0,150.0
738306,50.03,0.0,50.0,150.0
738829,50.08,0.0,50.0,150.0
739352,50.08,0.0,50.0,150.0
739875,49.98,2.28,50.0,150.0
740398,49.9,15.56,50.0,150.0
740921,49.78,33.53,50.0,150.0
741444,49.67,49.16,50.0,150.0
741968,49.56,65.56,50.0,150.0
742490,49.5,75.72,50.0,150.0
743013,49.4,89.78,50.0,150.0
743536,49.27,100.0,50.0,150.0
744059,49.2,100.0,50.0,150.0
744584,49.18,100.0,50.0,150.0
745107,49.33,100.0,50.0,150.0
745630,49.46,80.41,50.0,150.0
746153,49.67,49.94,50.0,150.0
746676,49.89,16.35,50.0,150.0
747199,50.05,0.0,50.0,150.0
747722,50.08,0.0,50.0,150.0
748245,50.06,0.0,50.0,150.0
748767,50.04,0.0,50.0,150.0
749290,49.95,6.97,50.0,150.0
749813,49.85,21.81,50.0,150.0
750336,49.72,42.13,50.0,150.0
750859,49.58,63.22,50.0,150.0
751382,49.5,74.94,50.0,150.0
751905,49.45,81.97,50.0,150.0
752427,49.35,96.82,50.0,150.0
752949,49.25,100.0,50.0,150.0
753472,49.18,100.0,50.0,150.0
753995,49.26,100.0,50.0,150.0
754517,49.43,85.1,50.0,150.0
755040,49.54,69.47,50.0,150.0
755563,49.81,28.85,50.0,150.0
756086,50.03,0.0,50.0,150.0
756609,50.03,0.0,50.0,150.0
757131,50.13,0.0,50.0,150.0
757655,50.06,0.0,50.0,150.0
758178,50.0,0.72,50.0,150.0
758701,49.9,14.78,50.0,150.0
759224,49.79,31.19,50.0,150.0
759747,49.68,48.38,50.0,150.0
760269,49.55,67.91,50.0,150.0
760795,49.41,88.22,50.0,150.0
761318,49.36,95.25,50.0,150.0
761840,49.29,100.0,50.0,150.0
762363,49.27,100.0,50.0,150.0
762886,49.23,100.0,50.0,150.0
763409,49.39,92.13,50.0,150.0
763931,49.59,60.88,50.0,150.0
764454,49.85,22.6,50.0,150.0
764977,49.92,11.66,50.0,150.0
765499,50.05,0.0,50.0,150.0
