time,pv,cv,sp,kp,ki,kd
230,10.021,56.55021,10,45,9.91,51.08
231,10.0418,39.25664,10,45,9.91,51.08
232,10.021,39.79409,10,45,9.91,51.08
233,10.0522,47.12003,10,45,9.91,51.08
234,10.0314,44.73003,10,45,9.91,51.08
235,10.0418,52.53885,10,45,9.91,51.08
236,10.0314,55.25765,10,45,9.91,51.08
237,10.0262,47.08459,10,45,9.91,51.08
238,10.0054,53.52913,10,45,9.91,51.08
239,9.989799,59.31515,10,45,9.91,51.08
240,10.0002,46.16073,10,45,9.91,51.08
241,9.979401,54.61457,10,45,9.91,51.08
242,9.969002,57.31068,10,45,9.91,51.08
243,9.9534,53.34319,10,45,9.91,51.08
244,9.9482,64.43655,10,45,9.91,51.08
245,10.0002,52.23933,10,45,9.91,51.08
246,9.989799,49.88343,10,45,9.91,51.08
247,9.989799,43.17891,10,45,9.91,51.08
248,10.0158,67.773,10,45,9.91,51.08
249,10.0002,48.92713,10,45,9.91,51.08
250,9.979401,60.75253,10,45,9.91,51.08
251,9.9534,58.68143,10,45,9.91,51.08
252,9.943001,57.29229,10,45,9.91,51.08
253,9.937801,57.86066,10,45,9.91,51.08
254,9.969002,56.59971,10,45,9.91,51.08
255,9.979401,50.99476,10,45,9.91,51.08
256,10.0158,44.06934,10,45,9.91,51.08
257,10.0158,51.50623,10,45,9.91,51.08
258,10.0366,40.01796,10,45,9.91,51.08
259,10.0262,42.50531,10,45,9.91,51.08
260,10.0418,48.09579,10,45,9.91,51.08
261,10.0106,42.76262,10,45,9.91,51.08
262,10.0158,53.34824,10,45,9.91,51.08
263,10.0106,42.89326,10,45,9.91,51.08
264,10.0262,55.80316,10,45,9.91,51.08
265,10.0106,42.91205,10,45,9.91,51.08
266,10.0314,58.23436,10,45,9.91,51.08
267,9.9846,57.42445,10,45,9.91,51.08
268,10.0002,48.78456,10,45,9.91,51.08
269,9.9846,60.37608,10,45,9.91,51.08
270,9.994999,43.04421,10,45,9.91,51.08
271,9.9482,72.54491,10,45,9.91,51.08
272,9.974201,39.18618,10,45,9.91,51.08
273,9.958599,58.83286,10,45,9.91,51.08
274,9.974201,62.85973,10,45,9.91,51.08
275,9.958599,56.55475,10,45,9.91,51.08
276,9.974201,55.70552,10,45,9.91,51.08
277,10.0054,38.4247,10,45,9.91,51.08
278,10.0158,48.99671,10,45,9.91,51.08
279,10.0366,51.76662,10,45,9.91,51.08
280,10.021,59.89498,10,45,9.91,51.08
281,10.0314,37.32083,10,45,9.91,51.08
282,10.0366,58.10975,10,45,9.91,51.08
283,10.0418,55.98962,10,45,9.91,51.08
284,10.0314,58.51741,10,45,9.91,51.08
285,10.047,41.68861,10,45,9.91,51.08
286,10.0366,46.82128,10,45,9.91,51.08
287,10.0314,43.98129,10,45,9.91,51.08
288,10.0314,47.41595,10,45,9.91,51.08
289,10.0158,42.09916,10,45,9.91,51.08
290,9.994999,67.56289,10,45,9.91,51.08
291,9.969002,58.45029,10,45,9.91,51.08
292,9.958599,50.33918,10,45,9.91,51.08
293,9.922199,53.76089,10,45,9.91,51.08
294,9.937801,71.21753,10,45,9.91,51.08
295,9.932602,57.8548,10,45,9.91,51.08
296,9.9482,70.88309,10,45,9.91,51.08
297,9.9846,56.10083,10,45,9.91,51.08
298,9.9846,64.63183,10,45,9.91,51.08
299,10.0106,41.5006,10,45,9.91,51.08
300,9.9846,44.17297,10,45,9.91,51.08
301,10.0158,49.17878,10,45,9.91,51.08
302,10.0106,62.83241,10,45,9.91,51.08
303,10.0158,58.7494,10,45,9.91,51.08
304,9.994999,49.33119,10,45,9.91,51.08
305,9.994999,48.55036,10,45,9.91,51.08
306,9.979401,60.55321,10,45,9.91,51.08
307,9.9534,49.76968,10,45,9.91,51.08
308,9.958599,67.06776,10,45,9.91,51.08
309,9.994999,42.01471,10,45,9.91,51.08
310,9.963802,42.31468,10,45,9.91,51.08
311,10.0054,55.66013,10,45,9.91,51.08
312,9.9846,41.10764,10,45,9.91,51.08
313,10.0054,52.5135,10,45,9.91,51.08
314,10.0054,44.52013,10,45,9.91,51.08
315,10.0002,43.7712,10,45,9.91,51.08
316,9.989799,47.13942,10,45,9.91,51.08
317,9.958599,58.74107,10,45,9.91,51.08
318,9.994999,60.12048,10,45,9.91,51.08
319,9.994999,58.31895,10,45,9.91,51.08
320,10.0106,46.81736,10,45,9.91,51.08
321,10.0366,67.5974,10,45,9.91,51.08
322,10.047,39.2118,10,45,9.91,51.08
323,10.0366,53.45238,10,45,9.91,51.08
324,10.0158,50.65199,10,45,9.91,51.08
325,10.0314,47.33693,10,45,9.91,51.08
326,10.0418,47.34882,10,45,9.91,51.08
327,10.0262,49.54644,10,45,9.91,51.08
328,10.0366,52.47193,10,45,9.91,51.08
329,10.0106,44.11869,10,45,9.91,51.08
330,10.0002,53.91674,10,45,9.91,51.08
331,9.958599,61.22305,10,45,9.91,51.08
332,9.932602,42.88632,10,45,9.91,51.08
333,9.943001,51.65641,10,45,9.91,51.08
334,9.958599,54.40885,10,45,9.91,51.08
335,9.974201,39.90456,10,45,9.91,51.08
336,9.994999,38.56461,10,45,9.91,51.08
337,9.994999,54.64835,10,45,9.91,51.08
338,9.989799,50.14206,10,45,9.91,51.08
339,10.0106,52.58872,10,45,9.91,51.08
340,10.0002,60.46297,10,45,9.91,51.08
341,10.0262,42.60029,10,45,9.91,51.08
342,10.0106,53.3689,10,45,9.91,51.08
343,10.021,48.8928,10,45,9.91,51.08
344,9.994999,46.23388,10,45,9.91,51.08
345,9.9846,44.18058,10,45,9.91,51.08
346,10.021,45.72555,10,45,9.91,51.08
347,10.021,39.59519,10,45,9.91,51.08
348,10.0054,45.73574,10,45,9.91,51.08
349,10.0158,57.29228,10,45,9.91,51.08
